id	Name	Organism
T00001	(name)	(organism)
T00015	(name)	(organism)
T00025	(name)	(organism)
T00029	(name)	(organism)
T00035	(name)	(organism)
T00036	(name)	(organism)
T00037	(name)	(organism)
T00038	(name)	(organism)
T00039	(name)	(organism)
T00040	(name)	(organism)
T00045	(name)	(organism)
T00048	(name)	(organism)
T00051	(name)	(organism)
T00052	(name)	(organism)
T00053	(name)	(organism)
T00065	(name)	(organism)
T00066	(name)	(organism)
T00067	(name)	(organism)
T00070	(name)	(organism)
T00073	(name)	(organism)
T00074	(name)	(organism)
T00075	(name)	(organism)
T00077	(name)	(organism)
T00081	(name)	(organism)
T00085	(name)	(organism)
T00086	(name)	(organism)
T00094	(name)	(organism)
T00097	(name)	(organism)
T00098	(name)	(organism)
T00100	(name)	(organism)
T00102	(name)	(organism)
T00105	(name)	(organism)
T00112	(name)	(organism)
T00113	(name)	(organism)
T00123	(name)	(organism)
T00133	(name)	(organism)
T00137	(name)	(organism)
T00140	(name)	(organism)
T00149	(name)	(organism)
T00150	(name)	(organism)
T00151	(name)	(organism)
T00154	(name)	(organism)
T00163	(name)	(organism)
T00166	(name)	(organism)
T00167	(name)	(organism)
T00168	(name)	(organism)
T00170	(name)	(organism)
T00174	(name)	(organism)
T00176	(name)	(organism)
T00177	(name)	(organism)
T00178	(name)	(organism)
T00181	(name)	(organism)
T00182	(name)	(organism)
T00185	(name)	(organism)
T00186	(name)	(organism)
T00190	(name)	(organism)
T00191	(name)	(organism)
T00192	(name)	(organism)
T00197	(name)	(organism)
T00200	(name)	(organism)
T00202	(name)	(organism)
T00204	(name)	(organism)
T00207	(name)	(organism)
T00221	(name)	(organism)
T00222	(name)	(organism)
T00223	(name)	(organism)
T00232	(name)	(organism)
T00241	(name)	(organism)
T00242	(name)	(organism)
T00243	(name)	(organism)
T00246	(name)	(organism)
T00247	(name)	(organism)
T00248	(name)	(organism)
T00249	(name)	(organism)
T00250	(name)	(organism)
T00255	(name)	(organism)
T00261	(name)	(organism)
T00265	(name)	(organism)
T00268	(name)	(organism)
T00269	(name)	(organism)
T00270	(name)	(organism)
T00282	(name)	(organism)
T00300	(name)	(organism)
T00306	(name)	(organism)
T00308	(name)	(organism)
T00311	(name)	(organism)
T00323	(name)	(organism)
T00325	(name)	(organism)
T00330	(name)	(organism)
T00331	(name)	(organism)
T00337	(name)	(organism)
T00341	(name)	(organism)
T00342	(name)	(organism)
T00343	(name)	(organism)
T00356	(name)	(organism)
T00357	(name)	(organism)
T00358	(name)	(organism)
T00359	(name)	(organism)
T00360	(name)	(organism)
T00361	(name)	(organism)
T00362	(name)	(organism)
T00363	(name)	(organism)
T00364	(name)	(organism)
T00366	(name)	(organism)
T00368	(name)	(organism)
T00373	(name)	(organism)
T00381	(name)	(organism)
T00387	(name)	(organism)
T00388	(name)	(organism)
T00391	(name)	(organism)
T00392	(name)	(organism)
T00394	(name)	(organism)
T00400	(name)	(organism)
T00410	(name)	(organism)
T00411	(name)	(organism)
T00412	(name)	(organism)
T00417	(name)	(organism)
T00418	(name)	(organism)
T00423	(name)	(organism)
T00427	(name)	(organism)
T00428	(name)	(organism)
T00431	(name)	(organism)
T00432	(name)	(organism)
T00433	(name)	(organism)
T00435	(name)	(organism)
T00438	(name)	(organism)
T00441	(name)	(organism)
T00447	(name)	(organism)
T00450	(name)	(organism)
T00452	(name)	(organism)
T00461	(name)	(organism)
T00473	(name)	(organism)
T00489	(name)	(organism)
T00490	(name)	(organism)
T00492	(name)	(organism)
T00493	(name)	(organism)
T00494	(name)	(organism)
T00497	(name)	(organism)
T00498	(name)	(organism)
T00513	(name)	(organism)
T00516	(name)	(organism)
T00520	(name)	(organism)
T00521	(name)	(organism)
T00522	(name)	(organism)
T00525	(name)	(organism)
T00529	(name)	(organism)
T00530	(name)	(organism)
T00539	(name)	(organism)
T00545	(name)	(organism)
T00550	(name)	(organism)
T00558	(name)	(organism)
T00559	(name)	(organism)
T00561	(name)	(organism)
T00563	(name)	(organism)
T00564	(name)	(organism)
T00566	(name)	(organism)
T00569	(name)	(organism)
T00570	(name)	(organism)
T00571	(name)	(organism)
T00572	(name)	(organism)
T00573	(name)	(organism)
T00578	(name)	(organism)
T00579	(name)	(organism)
T00580	(name)	(organism)
T00581	(name)	(organism)
T00582	(name)	(organism)
T00583	(name)	(organism)
T00590	(name)	(organism)
T00591	(name)	(organism)
T00593	(name)	(organism)
